metric,size,dims,result
corr,10,5,0.18920964702806187
pMSE,10,5,0.12449391802484011
ks_test,10,5,0.27999999999999997
pca_$\Delta\lambda$,10,5,0.09625405089074364
pca_$\Delta\theta$,10,5,0.642221291300633
corr,10,5,0.06553110356069174
pMSE,10,5,0.1347866896296646
ks_test,10,5,0.38
pca_$\Delta\lambda$,10,5,0.07342760670610478
pca_$\Delta\theta$,10,5,0.2738838493175465
corr,10,5,0.1552826150167186
pMSE,10,5,0.14008860414650529
ks_test,10,5,0.3
pca_$\Delta\lambda$,10,5,0.2796351048467706
pca_$\Delta\theta$,10,5,0.35278639332342376
corr,10,5,0.10653570599858198
pMSE,10,5,0.12927277224624278
ks_test,10,5,0.30000000000000004
pca_$\Delta\lambda$,10,5,0.11802299015883666
pca_$\Delta\theta$,10,5,0.12974456727638925
corr,10,5,0.15558864326114222
pMSE,10,5,0.07251706460173678
ks_test,10,5,0.27999999999999997
pca_$\Delta\lambda$,10,5,0.20887555762650936
pca_$\Delta\theta$,10,5,0.18806784358679904
corr,10,5,0.2125550427540083
pMSE,10,5,0.16415411825860177
ks_test,10,5,0.3
pca_$\Delta\lambda$,10,5,0.146110436627352
pca_$\Delta\theta$,10,5,0.6768264617612998
corr,10,5,0.17981572012255873
pMSE,10,5,0.2663403420705758
ks_test,10,5,0.32
pca_$\Delta\lambda$,10,5,0.2673774685882885
pca_$\Delta\theta$,10,5,0.34422614419364084
corr,10,5,0.18634372039214783
pMSE,10,5,0.238125245834034
ks_test,10,5,0.4
pca_$\Delta\lambda$,10,5,0.0900500135785443
pca_$\Delta\theta$,10,5,0.40496393472884
corr,10,5,0.20420078608211703
pMSE,10,5,0.16797689860188328
ks_test,10,5,0.24
pca_$\Delta\lambda$,10,5,0.1328100862033458
pca_$\Delta\theta$,10,5,0.30641907448197025
corr,10,5,0.15984310044669775
pMSE,10,5,0.14727361940763464
ks_test,10,5,0.26
pca_$\Delta\lambda$,10,5,0.09815502609502187
